,Title,new_genres,kw_Rake_p3,clean_Plot,full_model_9_beams,full_model_3_beams
11822,Tripfall,"crime, thriller","california, eddie","The family of Tom Williams make holidays in California. The family is kidnapped by Eddie, his girlfriend Lonnie and Franklin Ross. They want 1.2 million dollars.","The film is set in Los Angeles, California. The main character, Eddie. is a former drug dealer who is now working for a drug cartel. Eddie's life is thrown into disarray when he discovers that he has been kidnapped by a gang of robbers who are trying to extort money from Eddie.","The film is set in Los Angeles, California during the early 1990s. The film follows a group of gangsters who are attempting to rob a bank and steal a million dollars from a crooked bank robber, Eddie. The group is led by Eddie's ex-girlfriend."
11824,The Roots of Heaven,drama,"morel, humanity, minna, redeem","Set in French Equatorial Africa, the film tells the story of Morel. a crusading environmentalist who sets out to preserve the elephants from extinction as a lasting symbol of freedom for all humanity. He is helped by Minna. a nightclub hostess, and Forsythe. a disgraced British military officer hoping to redeem himself.","The Roots of Heaven tells the story of a young man, Morel. who is sent by God to save the world from the clutches of humanity. When he meets the beautiful Minna. he falls in love with her. However, he is unable to redeem himself.","The Roots of Heaven tells the story of a young man, Morel. who is sent by God to save the world from the clutches of humanity. The story is told through the eyes of Minna. a beautiful young woman who has inherited a fortune from her father, and who is determined to redeem herself."
11828,Wagon Heels,"comedy, western","robert, territory, tune, falling, tomahawk, hand, refrain, east, lionize, heroes, porky, irises-","The cartoon opens in 1849, with narration by Robert C. Bruce, over a spurious map showing a sliver of land on the Eastern Seaboard labeled USA, with all land to its west labeled INJUN JOE'S TERRITORY. Porky Pig is leading a wagon train to California and he must keep an eye out for the Herculean Native American Super Chief, Injun Joe. The name is a play on the famous Santa Fe train run of the same name. and reinforced by each character spouting smoke and crying Woo-woo! like a steam locomotive, each time they say Injun Joe's name. Porky and Injun Joe are repeatedly interrupted by a goofy bearded hillbilly named Sloppy Moe. who keeps repeating, I know something I won't tell, I won't tell, I won't tell! to the tune of London Bridge is Falling Down. This goes on until Injun Joe corners Porky with tomahawk in hand, and Sloppy Moe sings his refrain once more. Injun Joe grabs him and demands, What you know, Huh???, and Sloppy reveals his secret at last, Injun... Joe... is... ticklish!, and proceeds to prove that by tickling the chief with his hands and beard. The Native American goes into a raucous laughing fit. Distracted, he backs off a cliff and falls deep into the ground, pulling the surface down with him, and causing the map seen at the beginning of the cartoon to stretch the USA sliver across to the west coast, so that it now reads UNITED STATES of AMERICA from west to east. The cartoon closes with the narrator returning to lionize the cartoon's heroes, Porky and Sloppy Moe, and irises-out with Moe tickling the giggling Porky.","The film opens with a band of wagon heels, led by Robert. defending their territory against a posse known as the Wagon Heels. The film then cuts to a scene in which the heeds are escorted by a group of scouts led by Tomahawk. They are greeted by the band's leader, a blacksmith, and a cowboy, who tries to smuggle them out of their territory. The band is accompanied by two of the wagons, one of which is sung by the tune of The Falling of a Tomahawk's Hand. In the end, the band performs a refrain from The Fall of the East. They then proceed to lionize their heroes, including Porky and Porky's Irises-. title2008-10-08workNY Times","The film opens with a wagon train carrying a young boy, Robert. who has just been released from prison for stealing a piece of territory from a posse. The wagon train then heads west, where it is occupied by a group of settlers, led by the young boy's father. The settlers are greeted by the settlers as if they were in their territory. The first settlers arrive at the wagon train, where they are confronted with the young man's snobby cousins. Then, the wagons are loaded with dynamite, and the two settlers begin to sing a tune about falling into the Tomahawk's hand. The second settlers attempt to smuggle the wagon back to the west, but the villagers refuse to refrain from doing so. The last settlers return to the wagon, and they are escorted by the other settlers. The third settlers take the wagon home. The final settlers leave the wagon at the end of the film, and are reunited with their families. The film ends with the wagon returning to the east to lionize the heroes of the wagon lords, with the last lion being Porky and the irises-in-the-Wagon Heels. title2008-10-08workNY Times"
11831,The Express,"drama, sport","pennsylvania, discrimination, relocating, excels, field, gil, condolence, davis, citizen, athlete","Ernie Davis (Rob Brown is a young African American growing up in Pennsylvania with his same-age uncle Will Davis Jr.. in the late 1940s during a time of racism and discrimination. Davis lives with his extended family, including his grandfather, Willie 'Pops' Davis. who guides and educates him. Davis' mother, Marie Davis. eventually returns to their residence to inform the family that she has remarried and can now afford to raise Ernie at her own home in Elmira, New York. Upon relocating to Elmira, Davis enrolls in a Small Fry Football League and excels on the field as a running back with help of critical blocks from Gil (Michael Mannix. At the start of the 1959 college football season, Davis immediately excels playing for the varsity team, to lead Syracuse to victories over several college football teams. After Syracuse defeats UCLA to conclude the regular season undefeated, the team decides by choice to play the 2nd ranked Texas Longhorns in the Cotton Bowl Classic. During the game on January 1, 1960, Davis boldly attempts to lead his team to victory but is hampered by an injured leg and biased officiating. Towards the end of the game, Davis scores a crucial touchdown to preserve a Syracuse lead. The matchup concludes with a victory for Syracuse, and its first national championship. The film's epilogue displays a series of graphics stating that Davis died on May 18, 1963 at the age of 23 while in condolence, President Kennedy expresses sympathy for Davis' fine character as a citizen and an athlete.","The Express tells the story of a young boy, David, who lives with his mother in a small town in Pennsylvania. He has a history of prejudice and discrimination against his African American parents. David is a former football star who has moved to New York City to pursue his dream of relocating to the United States. He excels on the field of track and field. His father, Gil. has remarried to a wealthy businessman. David's mother, Mary. is in love with David, and they have a child together. When David dies, he returns to his hometown, where he is greeted with condolence by his father. David becomes a citizen and becomes an athlete.","The Express tells the story of a young boy, David, who was born and raised in a small town in Pennsylvania. He is a champion boxer, despite the prejudice and discrimination of his family. David's father, Gil, is an American citizen, and he is the son of an African-American man. David is an accomplished athlete, but he has a hard time relocating. He excels on the field and is coached by Gil's stern coach. Gil is resentful of his father's inability to compete. His father, who has been unable to pay for his medical bills, is able to pay the hospital bills. David, meanwhile, has been given a job as a sportswriter in order to support his father. He has arranged for David to be placed in the United States Army, but his father refuses to accept the offer. He tries to persuade David to become a citizen, but David refuses. He becomes an athlete."
11959,Griffin and Phoenix,"comedy, drama, romance","live, self-reflection, adventurous, sunrise, strive, make","The film starts with Henry Griffin learning from his oncologist that his cancer has spread and that he only has one year, two at most, left to live. This discovery starts him on a journey of self-reflection which includes starting a novel and taking a psychology class at New York University. In this class, he meets Sarah Phoenix. Although Phoenix sends Griffin the occasional mixed signals, the two team up for a whirlwind of adventurous and almost childlike activities sneaking into movie theaters, drinking coffee until sunrise, hopping railroad cars, and more. The two fall for one another, and their relationship deepens when Phoenix reveals that she is also suffering from a terminal disease. Together, they strive to make the most of their last days alive.","The film tells the story of Griffin and Phoenix, a young couple who live in a small New England town. Griffin is a man of self-reflection and self-discovery. He lives with his best friend and best friend, Phoenix. and Griffin is an adventurous, self-absorbed young man. At sunrise, he meets and falls in love with a beautiful young woman. They strive to make a better life together.","Griffin and Phoenix is the story of two young men who live in a small town in New Mexico. Griffin is a man of self-reflection, whose life is filled with adventure, adventure, and adventure. He lives with his best friend and best friend, Phoenix, a sexy young woman who has a knack for catching people's eyeballs. Griffin's life is thrown into disarray when he discovers that he has been raped and murdered by a group of young women. The two men have a long history of sexual encounters, and Griffin is an adventurous and enigmatic man. The film follows the two men as they strive to make the best of their lives."
11961,Humdrum,comedy,"table, reject, cow, failure, recognise, camera, ending, animation","The film features two anonymous Scottish-accented Shadow Puppets who are sitting around a table with nothing to do. They explore and reject several options including watching television. listening to the radio and playing chess. This is briefly interrupted when the doorbell rings and one character answers it to find a pesky dog before the other persuades him to enter into a game of shadow puppets. The first character is frustrated by his acquaintance's appalling representation of a cow and later his failure to recognise a rather fantastic rabbit. After an amusing outburst from the poor fellow, his annoying partner accuses him of being 'shirty'. This leads him to explode, furiously crying I'm stuck indoors playing 'Guess the misshapen beast' with someone who clearly wouldn't recognise a rabbit if it came to his house for tea, said 'What's up Doc?' and started burrowing into his head! There are blind people with no fingers who are better at shadow puppets than you! No wonder I'm a tad miffed! An awkward silence follows this, until the doorbell rings and the first character goes to answer it, and finds the second character's 'cow' shadow puppet, which moos. Despite being disappointed with being wrong about a cow's appearance, he simply responds to this with a cheery Not today, thank you. and closes the door in front of the camera, thus ending the animation.","The Stooges are a pair of nerdy cowboys who try to eat a cow at a table. When they try to get the cow, they reject it. They then try to feed the cow to the other cows, but fail to recognise the cow. The cow then tries to feed it to the next cow, but fails to recognise it. Then, the boys try to make a fake cow out of it, but the cow doesn't recognise them. The film ends with a montage of the cow being fed to the camera. The ending of the animation is shown below. title2008-09-08workNY Times","The Stooges are a pair of nerdy cowboys who try to eat a cow at a table. They reject it. They then eat the cow. Then they eat another cow, which is a failure to recognise it. Eventually they are reunited with the cow, and the boys try to get rid of the cow by putting it in a bowl of water. The boys then attempt to get the cow back, but fail. The gang then try to make a fake cow out of the bowl, but the cow doesn't recognise them. The cow then tries to make it back to the bowl but the gang manages to get it back. The film ends with a camera, ending with an animation of a real cow. title2008-10-08workNY Times"
12176,Which Way Is Up?,comedy,"laid, jobs, vanetta, rev, lot, time","When he wanders into a union action by mistake, Leroy Jones is laid off from his job picking oranges. The only way he can find work to provide for his wife Annie Mae, their kids and his father Rufus is to leave them behind and go to Los Angeles, where more jobs are available. While he is away, Leroy becomes smitten with Vanetta, a beautiful labor organizer. Back home, meanwhile, the Rev. Lenox Thomas is not only watching out for Leroy's wife, he has gotten her pregnant. Leroy's juggling a lot of family affairs by the time he returns home.","The plot revolves around a group of college students who are laid off from their jobs. One of the students, Vanetta, is a saxophonist who works for a local radio station. The other student, Phyllis, is in love with Vanetta and wants to marry her, but she isn't sure what to make of her, so she decides to take a job as a nightclub singer in order to earn enough money to pay off her debts. Vanetta's father, Rev. Cummings, tries to get Vanetta to work for him, but he's not interested in her. A lot of time is had by both of them.","The film is about a group of college students who are laid off from their jobs. They are given a job at a department store, where they are offered jobs by the department store's owner, Vanetta. who is a rev. The group's manager is the head of a sleazy department store. The film also features a lot of slapstick gags, such as the snooty Mrs. Vanetta and the naive Mrs. McKay. The movie also includes a bit of flashbacks, including a scene in which a man screams at her all the time. title2008-10-08workNY Times"
12238,Shopworn,"drama, romance","love, break, marry, alarmed, confesses, truth","Waitress Kitty Lane and wealthy David Livingston fall in love. However his overly protective mother Helen does not approve and does everything she can to break them up. She has her friend Judge Forbes first try bribery when that fails, he arranges to have her jailed on a bogus morals charge. Meanwhile, Mrs. Livingston convinces her son that Kitty took the $5000 bribe. As the years pass, Kitty becomes a successful showgirl, with numerous admirers, while David is a doctor. When their paths cross again, their love is rekindled, though Kitty is skeptical of David's resolve in the face of his mother's unwavering opposition. David finally convinces her to marry him. Alarmed, Mrs. Livingston goes to see Kitty. She begs her to break off the engagement, fearing her son's career will be ruined, but Kitty is unmoved. In desperation, the distraught mother pulls out a gun. Kitty manages to take it away from the confused woman, but is touched by her pleas. When David shows up, Mrs. Livingston hides while Kitty puts on an act, pretending that she only agreed to marry him to get back at his mother. David is finally convinced, but then a repentant Mrs. Livingston stops him from leaving and confesses the truth.","Shopworn tells the story of a young woman who falls in love with a fashion designer. She decides to break up with him. She tries to convince him to marry her, but he is alarmed. She confesses the truth to him.","Shopworn tells the story of a young woman who falls in love with a fashion designer. She decides to break up with him. She tries to convince him to marry her, but he is alarmed. She confesses the truth to him."
12319,Little Rural Riding Hood,comedy,"lives, photograph, suave, takes, club, stopped, opportunity, city, drives","The film opens with a hillbilly version of Little Red Riding Hood. telling the audience that she is taking nourishment to her grandma, who lives on a country farm. At the farmhouse, a wolf reveals himself to the audience, but refuses to eat Red as he is supposed to, as he is in love with Red and wishes to kiss her. After a comical chase around the farmhouse, the wolf catches Red, and both prepare to kiss each other, when a telegram arrives for the wolf from his city cousin. inviting him to the city to meet the city's equivalent of Red. Enamoured by her photograph, the country wolf departs immediately for the city. The city wolf, a suave and sophisticated gentleman, takes his country cousin to his club, where the city's Red performs her dance routine. The country wolf whistles and leers throughout, becoming completely aroused by Red. Before he can rush onto the stage to join her, however, his city cousin stops him. and takes him back to his home in the country, feeling that city life is too much for his country cousin. On arrival back at the farmhouse, the two wolves find the Country Red waiting for them at the doorstep. On seeing her, the city wolf becomes wildly attracted to her, but is stopped by his country cousin. Seeing an opportunity to see the city's Red again, the country wolf promptly decides to take his city cousin back home, and drives off back to the city.","The Stooges are a couple who live in a small town in New York City. One day, they take a photograph of Little Red Riding Hood. a suave, young man who takes a job as a dancer at a club. When he gets there, he is stopped by a gang of robbers. Eventually, the gang decides to take him to a new club, where he meets up with a beautiful young woman. The gang tries to get him to come back, but he's stopped by the police. He is given the opportunity to go to the city and drives off.","The Stooges are a couple who live in a small town in New York City. One day, they take a photograph of a young girl named Elsie. Elsie is a suave and snobbish girl who takes a job at a club. She is in love with the owner of the club, but the club is stopped by a police officer. The gang decides to take Elsie to a boarding house, where Elsie and the other boys are staying. The boys decide to go to Elsie's house, but Elsie refuses to go with them, and Elsie goes to the boarding school, where she learns that the gang has been stealing horses. Then, when Elsie discovers that Elsie has a knack for stealing, she decides that she is going to have to go back to the city, and drives off."
12368,Deadly Lessons,thriller,"country, roommate, murders, find, murderer, kills, det, kemper, adoption, baby","A teenaged girl, Stephanie Aggiston, is sent to a pretigious private girl's academy for the summer to brush up on Advanced French, and finds the school to be a bit snobbish, being a girl from the country herself. However, she does make friends with Marita Armstrong, her roommate. Little do they know Marita is being stalked from afar... Murders began occurring and Det. Russ Kemper comes to investigate. As more girls are killed, everyone wonders not only who is committing the murders but also who will be next. Stephanie attempts to find the murderer herself, who only kills when a girl wanders around alone. Stephanie enlists the help of the new attractive stable-boy, Eddie, who insteas falls in love with her for 'not being like the other girls.' Soon, Eddie is beginning to be suspected as the murder. Towards the end of the summer, the girls are slowly evacuated from the school, but Marita is kidnapped on the day she is set to leave by the school's janitor, Robert, who bounds and gags Marita in his quarters on campus. He is apparently deluded into thinking his daughter was Marita's mother. However, Martia signals from her captivity to Stephanie who has Kemper follow her to arrest Robert and save Marita from being killed. The killer turns out to be Det. Kemper, the illegitimate child of headmistress Miss Wade, who had given him up for adoption as a baby.",The film tells the story of a young boy who is kidnapped and raped by a gang of gangsters in the country. The boy's roommate is a former police officer. He is convicted and sentenced to death for the murders. He goes to New York City to find the murderer and kills him. He then goes to the United States to det. Kemper for adoption of the baby.,"The film opens with a young woman, Janie Kemper, being kidnapped by a gang of gangsters in the country. The girl's roommate is a former police officer. The police are investigating the murders, but Janis is unable to find the murderer and kills him. Janis, a police officer, tries to help Janis with her case, but she is beaten by the police and killed. The film then cuts to a scene in which Janis and Janis have sex, and the police arrest Janis for the murder. The movie ends with Janis committing the murder, but not before Janis's father, Det. Kemper. is given the adoption of a baby by Janis."
12382,The Man from Planet X,science fiction,"observatory, earth, enid, tommy, returns, killed","A spaceship from a previously unknown planet lands in the Scottish moors, bringing an alien creature to earth near the observatory of Professor Elliot. just days before the planet will pass closest to the earth. When the professor and his friend, American reporter John Lawrence. discover the creature, they help it when it is in distress and try to communicate with it, but fail. They leave, and the alien follows them home. A colleague of the professor, the unscrupulous and ambitious scientist Dr. Mears. discovers how to communicate with the creature and tries to get from it by force the formula for the metal the spaceship is made of. He shuts off the alien's breathing apparatus and leaves it for dead, telling the professor that communication was hopeless. Soon, Lawrence discovers that the alien is gone, as is the professor's daughter, Enid. Tommy, the village constable. reports that others from the village are missing as well. Lawrence takes the constable to the site where the spaceship has been, but it is no longer there. With more people now missing &ndash including Mears &ndash the phone lines dead and the village in a panic, they get word to Scotland Yard by using a heliograph to contact a passing freighter. When an Inspector and sergeant fly in and are briefed on the situation, it is decided that the military must destroy the spaceship. Lawrence objects that doing so will also kill the people who are under the alien's control. With the mysterious planet due to reach its closest distance to the earth at midnight, Lawrence is given until 1100 to rescue them. He sneaks up to the ship, and learns from Mears that the alien intends the ship to become a wireless relay station in advance of an invasion from its home planet, which is dying. Lawrence orders the enthralled villagers to leave and attacks the alien, shutting off its breathing apparatus, then escapes with Enid and the professor. Mears, however, returns to the ship and is killed when the military destroys the ship, just before the planet approaches and then recedes back into outer space.","On a distant planet, a group of aliens are sent to Earth to investigate the disappearance of a man from Planet X from an observatory. Upon arrival, they discover that he is the only man left on Earth. Enid. a young girl from a nearby planet, and Tommy. an old friend of the aliens, discover that the man is actually a skunk. When he returns to Earth, he gets killed.","The film begins with a young woman, Enid, being taken to a planet X by a mysterious man who has been sent to an observatory. The man is a scientist who is sent to Earth to study the Earth's atmosphere. He is accompanied by his wife, Emma. and their son, Tommy. He returns to the planet and is killed by the aliens."
12517,Swing Shift,"drama, romance","california, overseas, man, befriends, realizes, occurred","During the Second World War, Kay Walsh is a woman who has been assigned to work in an armaments factory in California while her husband Jack. a Leading Seaman, is overseas in naval service. Lonely and vulnerable, Kay falls for the charms of another man, a musician named Lucky. and befriends her embittered neighbor Hazel. a former singer. The three of them enjoy their time together until Kay's husband comes home and realizes what has occurred.","The film is set in Los Angeles, California during World War II. It is based on a true story, the story of a young American soldier who is sent overseas to a U.S. Navy base. While there, he meets a man who befriends him. He falls in love with her, but realizes that this has not yet occurred.","The film is set in Los Angeles, California during World War II. The film opens with a young American soldier, Tommy, who is sent to the United States to serve in the overseas. He is greeted by a man who befriends him. The man is Tommy's best friend. Tommy is also a military officer, but realizes that something else has occurred."
12598,Broadway Danny Rose,comedy,"mob, york, affair, woman, tina, life, boyfriend, ex-boyfriend","A hapless talent manager named Danny Rose, by helping a client, gets dragged into a love triangle involving the mob. His story is told in flashback, an anecdote shared amongst a group of comedians over lunch at New York's Carnegie Deli. Rose's one-man talent agency represents countless incompetent entertainers, including a one-legged tap dancer, and one slightly talented one washed-up lounge singer Lou Canova. whose career is on the rebound. Lou is having an affair with a woman, Tina. who had previously dated a gangster. Lou wants her to accompany him to his big gig at the Waldorf Astoria, where he will perform in front of Milton Berle, who could potentially hire him for even bigger things. At the singer's insistence, Danny Rose acts as a beard, masquerading as Tina's boyfriend to divert attention from the affair. Tina's ex-boyfriend is extremely jealous, and believing Tina's relationship with Danny to be real, he orders a hit on Danny, who finds himself in danger of losing both his client and his life.","Danny Rose is a young man whose life is thrown into disarray when he discovers that he has been raped by the mob. He decides to go to New York. There he meets Tina. an actress who is having an affair with another woman. Tina's ex-boyfriend, who is also a mobster, tries to get him out of the way. When Danny finds out that Tina is cheating on him, he sets out to find a way to get back into his life with his new boyfriend.",Danny Rose is a young man with a life in the mob. He lives in New York with his girlfriend Tina. who is having an affair with another woman. Tina's ex-boyfriend is also a Broadway star. Danny's life is turned upside down when Tina finds out that Danny has been cheating on her. She decides to try to get out of her life with her boyfriend.
12622,Tarzan and the Trappers,action,"tarzan, jungle, men, escapes, shadows, party, villains, turned, authorities, natives","The idyllic jungle life of Tarzan. Jane and Tartu is interrupted by a drum message telling them of predatory hunters loose in the jungle. Tarzan disrupts the animal-collecting expedition of the hunters, Schroeder and Rene he frees a baby elephant whose mother they have killed and then leads the elephant herd against them when they make hostages of Tartu and Cheeta the chimp. Afterwards he warns off two other hunters, Sikes and Lapin. seeking to plunder the lost city of Zarbo. He is attacked by their men, but escapes and shadows their party. Aware of Tarzan's continued presence, the hunters capture his native friend Tyana. and trap the ape man when he tries to free him. Tyana's tribe rescues the two. Finally, the hunters reach Zarbo, but find it empty of both people and treasure. In a final conflict, Tarzan overcomes the villains, who are then turned over to the authorities by the natives.","Tarzan and the Trappers is the story of a young boy who is kidnapped by Tarzan's evil nemesis, a jungle tycoon. Tarzan takes the boy with him to a secluded cabin in the jungle. There he encounters a group of thugs, led by the ruthless leader of the gang, and tries to smuggle him into the jungle with his men. He escapes into the shadows of the jungle, where he meets a party of pirates. The pirates take the boy captive, but Tarzan is killed by the villains, and the boy is turned over to the authorities by the natives.","Tarzan is a ruthless guerrilla leader. He is captured by a group of rebels in the jungle. He escapes from the jungle with his men. He then escapes into the shadows of a jungle party. At the party, he meets a young woman named Elsa. who is in love with Tarzan's daughter. Tarzan tries to smuggle her to the jungle, but the villains are turned against him by the authorities. The natives are able to help him escape. The film ends with the Trappers being turned over to the authorities by the natives."
12628,The File on Thelma Jordon,"crime, drama","burglars, involved, evidence, incriminate, begun, catch","Stanwyck plays Thelma Jordon, a woman who late one night shows up in the office of married Assistant district attorney Cleve Marshall with a story about prowlers and burglars. Before Cleve can stop himself, he and Thelma are involved in a love affair. But Thelma is a mysterious woman, and Cleve can't help wondering if she is hiding something. When her rich aunt is found shot, Jordon calls not the police but Marshall, who helps her cover up evidence that may incriminate her. When she emerges as the prime suspect, he sabotages the prosecution. Thelma Jordon is acquitted. Her past, however, has begun to catch up with her.",The File on Thelma Jordon is the story of a young woman who is raped and murdered by two burglars. She is accused of being involved in a gangland robbery. The police are unable to find any evidence to incriminate her. The FBI has begun to catch her.,"Thelma Jordon is the daughter of a wealthy businessman who has been raped and murdered by two burglars. She is arrested and charged with the murder of her husband, who was involved in a robbery. The police are called in to investigate the crime and find no evidence to incriminate her. The evidence is found in the home of the convicted burglar, who is now a police detective. The detectives have begun to catch up with her."
12639,Getting Played,"comedy, romance","prank, footage, sex, vivica, clean, honest","The film centers around three very attractive women who, after having many guy troubles themselves, decide to play a prank on a random man. Their goal is to seduce the man while catching the whole sequence on tape and ultimately humiliating him with the footage. Their plan runs into some snags, as the man they choose to prank knows what they are trying to do to him. The man then has sex with Vivica A. Fox and Carmen Electra's characters while they video tape the intercourse's, only for him to change both tapes. He then goes on a date with Stacey Dash's character only to fall in love with her after finding that they both have a lot in common and they look good together. In the end, they admit everything to each other, and after five minutes of begging, disturbing a couple eating dinner who they think that they are on a hidden camera show, decide to forgive each other and start out clean and honest.","The plot revolves around a prank by a high school football player. The gang decides to use the footage from the football game to have sex with Vivian. the daughter of a college football coach. After the game, the gang's coach tells them that the game is over, and they decide to play a game. The game is a success, but they have to clean up and be honest with each other. title2008-10-08workNY Times","The film is a prank by a Hollywood producer. The film opens with a scene of a woman having sex with Vivica, a young actress. Then, the film cuts to footage of the two having a sexual encounter. The two have a series of sexual encounters, and the film then cuts to a single woman. The movie ends with the two women having their first sexes, with Vicica being the second. The final scene of the film shows Vicica and the other actors trying to clean up and be honest about their relationship."
12675,Hanover Street,"drama, romance, war","weeks, love, photograph, lists, loves, begun","In London during World War II, Lieutenant David Halloran an American bomber pilot serving with the Eighth Air Force in the UK and Margaret Sellinger a British nurse meet in Hanover Street in a chance encounter during an air raid They meet again two weeks later in a secret assignation in Hanover Street. Although she is married, Sellinger and Halloran rapidly fall in love. She tries to resist, but is drawn to the charismatic American. By contrast her husband Paul Sellinger is, by his own description, suave, pleasant, but fairly dull. A former teacher, he is now a trusted member of British intelligence. Halloran is subsequently sent on an undercover mission in Nazi-occupied France to deliver a British agent. At the last moment, Sellinger takes the place of the agent, and himself joins the mission. His reasons are initially unclear, but he slowly reveals that he wants to prove himself. Flying over France, the aircraft is hit, killing the rest of the crew. The sole survivors, Halloran and Sellinger have to work together especially after the agent injures his ankle. Sellinger's mission is to arrive at the German headquarters in Lyon and, posing as an SS officer, photograph an important document that lists the German double-agents in British intelligence. Halloran agrees to help Sellinger. Making contact with the local French resistance, they disguise themselves as German SS officers and steal the documents. SS troops raise the alarm but the pair manage to escape after a lengthy car chase, and make it back to the same farm where they had received assistance. However, they are betrayed by a collaborator and are forced to flee again, pursued by hundreds of Nazi troops. Halloran and Sellinger must work together in order to survive. In London, Sellinger's wife finds out that Halloran and Sellinger are together and have come back home, and her husband is wounded but alive. Going to visit him in the hospital in Hanover Street, she meets Lt. Halloran for the last time. The embrace and kiss, and he tells her that he loves her enough to let her go, she goes in to see her husband, while he goes out into Hanover Street, where the love story had begun.","The film is set in New York City in the weeks following World War II. The film begins with a photograph of a young German girl who falls in love with an American soldier. The photograph then lists the names of the German soldiers who were killed in the Battle of Hanover Street. The story then moves to New York, where it is revealed that the girl is the daughter of the American officer who killed the American soldier, and that she loves him more than she has ever begun to love him.","The film is set in the weeks after World War II. The story begins with a young German girl, who falls in love with an American photographer. She is accompanied by a German officer and a British officer, who is in charge of a bombing raid on Hanover Street. The film then cuts to a photograph of the German officer. It lists the names of several German soldiers who were killed during the war. The German officer is wounded in action, but is able to escape. The girl is rescued by the Germans, who have begun a new life together."
12709,Shoot Out,"action, western","years, rap, jones, prisoner, begin, life","Clay Lomax gets out of prison after serving nearly eight years. He goes looking for Sam Foley, a bank robber who shot Lomax in the back and left him to take the rap. Foley has a trio of hired guns, Bobby Jay Jones being the fastest and most vicious. Lomax offers an old friend, Trooper, all the money he has in the world, $200, for the name of the town where Foley can be found. A woman named Teresa Ortega has been keeping Lomax's money for him, so he sends for her. When the train arrives, a girl of age 6 called Decky gets off. Lomax learns that Teresa is dead and believes Decky could be his own child. He can't find anyone to look out for her, so Decky accompanies him on the search. Trooper is killed by Foley's men, but with his dying words reveals that Gun Hill is where Lomax needs to go. A woman named Juliana offers shelter to Lomax and the little girl. Jones and his men arrive and take them prisoner. To amuse himself, Jones shoots objects, ala William Tell, off the child's head. Jones shoots one of his partners by mistake, flees, then kills the other. He goes to Foley for his money, but when Foley draws a gun from the safe, Jones is too quick and kills him. Jones is enjoying his money when Lomax gets the drop on him. Lomax forces him to place various objects on his head and shoots them off. In the end, he makes Jones prove just how fast he is supposed to be. Jones is forced to place a cartridge atop his head. He tries to outdraw Lomax but can't and he is shot dead. A relieved Lomax rides back to Juliana and Decky to begin a new life.","The film tells the story of a man who has been incarcerated for three years in a Texas prison. He is convicted of murder and sentenced to life in prison for the rap he committed two years earlier. He returns home to find that he has been kidnapped by a gang of outlaws led by Joe Jones, a former prisoner. Jones is able to convince the gang to release him so they can begin a new life together. title2008-10-08workNY Times","The film is set in the early 1900s and follows the story of a young man, Joe Jones, who has been a fugitive for several years. He is convicted of murder and sentenced to life in prison for rap. The film opens with Jones being a prisoner in a small town. Jones is able to escape and begin a new life."
12731,A Bug and a Bag of Weed,comedy,"working, clean, back, left","Peter Jordan is 31 years old, $35,000 in debt, and hes been working at Super Duper Computers for seven long years. Together with his equally down-on-their-luck co-workers Stan and Willie, Peter dreams of escaping the daily drudgery of dont forget to sell the extended warranty, and if you have time to lean, you have time to clean. Peter's existence in Big Box Retail Commission hell is further fueled by rival Salesman Rommel who steals Peter's customers and computer sales behind his back. Just when things seem to be at their worst, Peters long lost high school buddy Frehley blows into town and turns Peter, Stan and Willies humdrum lives into a non-stop beer-soaked party, full of loud music, strip clubs, and beautiful girls! And with Frehley yelling You only live once!, Peter whips out the credit cards to buy his dream car, a classic Volkswagen Beetle. But when Frehley suddenly splits town, straight-laced Peter and his buddies are shocked to find themselves left with a massive hockey bag stuffed full of primo weed.","The Stooges are painters who are working on a dingy painting. When they arrive at the painting, they are greeted with a bag of weed, which they clean up. When the boys arrive, they find that they have a bug in their back. Then they discover that the bug has been smuggled into the painting and that he has left the painting behind.","The Stooges are working as janitors at a boarding house. They are greeted with a bag of weed by a young woman, who tries to clean it up. The boys then go back to their old house. Then the boys are left alone."
